sequence,method,inc,tracing,mode,action,available_words,consumed_words,length_before,length_after,draw_arrays_before,draw_arrays_after
1,0x1818,0,0,bulk,accepted,12,12,0,12,0,0
2,0x1800,0,0,bulk,accepted,27,27,0,54,0,0
3,0x1800,0,0,bulk,accepted,27,27,0,54,0,0
4,0x1800,0,0,bulk,accepted,27,27,0,54,0,0
5,0x1800,0,0,bulk,accepted,27,27,0,54,0,0
6,0x1800,0,0,bulk,accepted,27,27,0,54,0,0
7,0x1800,0,0,bulk,accepted,27,27,0,54,0,0
8,0x1800,0,0,bulk,accepted,27,27,0,54,0,0
9,0x1800,0,0,bulk,accepted,27,27,0,54,0,0
10,0x1800,0,0,bulk,accepted,27,27,0,54,0,0
11,0x1800,0,0,bulk,accepted,27,27,0,54,0,0
12,0x1800,0,0,bulk,accepted,27,27,0,54,0,0
13,0x1800,0,0,bulk,accepted,27,27,0,54,0,0
14,0x1800,0,0,bulk,accepted,27,27,0,54,0,0
15,0x1800,0,0,bulk,accepted,27,27,0,54,0,0
16,0x1800,0,0,bulk,accepted,27,27,0,54,0,0
17,0x1800,0,0,bulk,accepted,27,27,0,54,0,0
18,0x1800,0,0,bulk,accepted,27,27,0,54,0,0
19,0x1800,0,0,bulk,accepted,27,27,0,54,0,0
20,0x1800,0,0,bulk,accepted,3,3,0,6,0,0
21,0x1800,0,0,bulk,accepted,47,47,6,100,0,0
22,0x1800,0,0,bulk,accepted,15,15,100,130,0,0
23,0x1800,0,0,bulk,accepted,1,1,0,2,0,0
24,0x1800,0,0,bulk,accepted,63,63,2,128,0,0
25,0x1800,0,0,bulk,accepted,1,1,128,130,0,0
26,0x1800,0,0,bulk,accepted,63,63,0,126,0,0
27,0x1800,0,0,bulk,accepted,2,2,126,130,0,0
28,0x1800,0,0,bulk,accepted,6,6,0,12,0,0
29,0x1800,0,0,bulk,accepted,47,47,12,106,0,0
30,0x1800,0,0,bulk,accepted,12,12,106,130,0,0
31,0x1800,0,0,bulk,accepted,4,4,0,8,0,0
32,0x1800,0,0,bulk,accepted,47,47,8,102,0,0
33,0x1800,0,0,bulk,accepted,14,14,102,130,0,0
34,0x1800,0,0,bulk,accepted,2,2,0,4,0,0
35,0x1800,0,0,bulk,accepted,63,63,4,130,0,0
36,0x1800,0,0,bulk,accepted,63,63,0,126,0,0
37,0x1800,0,0,bulk,accepted,2,2,126,130,0,0
38,0x1800,0,0,bulk,accepted,6,6,0,12,0,0
39,0x1800,0,0,bulk,accepted,47,47,12,106,0,0
40,0x1800,0,0,bulk,accepted,12,12,106,130,0,0
41,0x1800,0,0,bulk,accepted,4,4,0,8,0,0
42,0x1800,0,0,bulk,accepted,47,47,8,102,0,0
43,0x1800,0,0,bulk,accepted,14,14,102,130,0,0
44,0x1800,0,0,bulk,accepted,2,2,0,4,0,0
45,0x1800,0,0,bulk,accepted,63,63,4,130,0,0
46,0x1800,0,0,bulk,accepted,4,4,0,8,0,0
47,0x1800,0,0,bulk,accepted,4,4,0,8,0,0
48,0x1800,0,0,bulk,accepted,18,18,0,36,0,0
49,0x1800,0,0,bulk,accepted,4,4,0,8,0,0
50,0x1800,0,0,bulk,accepted,4,4,0,8,0,0
51,0x1800,0,0,bulk,accepted,18,18,0,36,0,0
52,0x1800,0,0,bulk,accepted,4,4,0,8,0,0
53,0x1800,0,0,bulk,accepted,4,4,0,8,0,0
54,0x1800,0,0,bulk,accepted,47,47,0,94,0,0
55,0x1800,0,0,bulk,accepted,11,11,94,116,0,0
56,0x1800,0,0,bulk,accepted,4,4,0,8,0,0
57,0x1800,0,0,bulk,accepted,4,4,0,8,0,0
58,0x1800,0,0,bulk,accepted,18,18,0,36,0,0
59,0x1800,0,0,bulk,accepted,4,4,0,8,0,0
60,0x1800,0,0,bulk,accepted,4,4,0,8,0,0
61,0x1800,0,0,bulk,accepted,47,47,0,94,0,0
62,0x1800,0,0,bulk,accepted,11,11,94,116,0,0
63,0x1800,0,0,bulk,accepted,4,4,0,8,0,0
64,0x1800,0,0,bulk,accepted,4,4,0,8,0,0
65,0x1800,0,0,bulk,accepted,3,3,0,6,0,0
66,0x1800,0,0,bulk,accepted,47,47,6,100,0,0
67,0x1800,0,0,bulk,accepted,8,8,100,116,0,0
68,0x1800,0,0,bulk,accepted,4,4,0,8,0,0
69,0x1800,0,0,bulk,accepted,4,4,0,8,0,0
70,0x1800,0,0,bulk,accepted,18,18,0,36,0,0
71,0x1800,0,0,bulk,accepted,4,4,0,8,0,0
72,0x1800,0,0,bulk,accepted,4,4,0,8,0,0
73,0x1800,0,0,bulk,accepted,18,18,0,36,0,0
74,0x1800,0,0,bulk,accepted,2,2,0,4,0,0
75,0x1808,1,0,scalar_incrementing,accepted,1,1,4,5,0,0
76,0x1800,0,0,bulk,accepted,2,2,0,4,0,0
77,0x1808,1,0,scalar_incrementing,accepted,1,1,4,5,0,0
78,0x1800,0,0,bulk,accepted,31,31,0,62,0,0
79,0x1800,0,0,bulk,accepted,9,9,62,80,0,0
80,0x1800,0,0,bulk,accepted,2,2,0,4,0,0
81,0x1808,1,0,scalar_incrementing,accepted,1,1,4,5,0,0
82,0x1800,0,0,bulk,accepted,2,2,0,4,0,0
83,0x1808,1,0,scalar_incrementing,accepted,1,1,4,5,0,0
84,0x1800,0,0,bulk,accepted,5,5,0,10,0,0
85,0x1800,0,0,bulk,accepted,31,31,10,72,0,0
86,0x1800,0,0,bulk,accepted,4,4,72,80,0,0
87,0x1800,0,0,bulk,accepted,4,4,0,8,0,0
88,0x1800,0,0,bulk,accepted,4,4,0,8,0,0
89,0x1800,0,0,bulk,accepted,2,2,0,4,0,0
90,0x1800,0,0,bulk,accepted,47,47,4,98,0,0
91,0x1800,0,0,bulk,accepted,9,9,98,116,0,0
92,0x1800,0,0,bulk,accepted,2,2,0,4,0,0
93,0x1808,1,0,scalar_incrementing,accepted,1,1,4,5,0,0
94,0x1800,0,0,bulk,accepted,2,2,0,4,0,0
95,0x1808,1,0,scalar_incrementing,accepted,1,1,4,5,0,0
96,0x1800,0,0,bulk,accepted,5,5,0,10,0,0
97,0x1800,0,0,bulk,accepted,31,31,10,72,0,0
98,0x1800,0,0,bulk,accepted,4,4,72,80,0,0
99,0x1800,0,0,bulk,accepted,2,2,0,4,0,0
100,0x1808,1,0,scalar_incrementing,accepted,1,1,4,5,0,0
101,0x1800,0,0,bulk,accepted,2,2,0,4,0,0
102,0x1808,1,0,scalar_incrementing,accepted,1,1,4,5,0,0
103,0x1800,0,0,bulk,accepted,2,2,0,4,0,0
104,0x1800,0,0,bulk,accepted,31,31,4,66,0,0
105,0x1800,0,0,bulk,accepted,7,7,66,80,0,0
106,0x1800,0,0,bulk,accepted,2,2,0,4,0,0
107,0x1808,1,0,scalar_incrementing,accepted,1,1,4,5,0,0
108,0x1800,0,0,bulk,accepted,2,2,0,4,0,0
109,0x1808,1,0,scalar_incrementing,accepted,1,1,4,5,0,0
110,0x1800,0,0,bulk,accepted,31,31,0,62,0,0
111,0x1800,0,0,bulk,accepted,9,9,62,80,0,0
112,0x1800,0,0,bulk,accepted,4,4,0,8,0,0
113,0x1800,0,0,bulk,accepted,4,4,0,8,0,0
114,0x1800,0,0,bulk,accepted,18,18,0,36,0,0
115,0x1800,0,0,bulk,accepted,4,4,0,8,0,0
116,0x1800,0,0,bulk,accepted,4,4,0,8,0,0
117,0x1800,0,0,bulk,accepted,2,2,0,4,0,0
118,0x1800,0,0,bulk,accepted,47,47,4,98,0,0
119,0x1800,0,0,bulk,accepted,9,9,98,116,0,0
120,0x1800,0,0,bulk,accepted,4,4,0,8,0,0
121,0x1800,0,0,bulk,accepted,4,4,0,8,0,0
122,0x1800,0,0,bulk,accepted,5,5,0,10,0,0
123,0x1800,0,0,bulk,accepted,47,47,10,104,0,0
124,0x1800,0,0,bulk,accepted,6,6,104,116,0,0
125,0x1800,0,0,bulk,accepted,4,4,0,8,0,0
126,0x1800,0,0,bulk,accepted,4,4,0,8,0,0
127,0x1800,0,0,bulk,accepted,18,18,0,36,0,0
128,0x1800,0,0,bulk,accepted,4,4,0,8,0,0
129,0x1800,0,0,bulk,accepted,4,4,0,8,0,0
130,0x1800,0,0,bulk,accepted,18,18,0,36,0,0
131,0x1800,0,0,bulk,accepted,4,4,0,8,0,0
132,0x1800,0,0,bulk,accepted,4,4,0,8,0,0
133,0x1800,0,0,bulk,accepted,18,18,0,36,0,0
134,0x1800,0,0,bulk,accepted,4,4,0,8,0,0
135,0x1800,0,0,bulk,accepted,4,4,0,8,0,0
136,0x1800,0,0,bulk,accepted,18,18,0,36,0,0
137,0x1800,0,0,bulk,accepted,3,3,0,6,0,0
138,0x1800,0,0,bulk,accepted,3,3,0,6,0,0
139,0x1800,0,0,bulk,accepted,14,14,0,28,0,0
140,0x1800,0,0,bulk,accepted,3,3,0,6,0,0
141,0x1800,0,0,bulk,accepted,3,3,0,6,0,0
142,0x1800,0,0,bulk,accepted,14,14,0,28,0,0
143,0x1800,0,0,bulk,accepted,1,1,0,2,0,0
144,0x1808,1,0,scalar_incrementing,accepted,1,1,2,3,0,0
145,0x1800,0,0,bulk,accepted,1,1,0,2,0,0
146,0x1808,1,0,scalar_incrementing,accepted,1,1,2,3,0,0
147,0x1800,0,0,bulk,accepted,8,8,0,16,0,0
148,0x1800,0,0,bulk,accepted,1,1,0,2,0,0
149,0x1808,1,0,scalar_incrementing,accepted,1,1,2,3,0,0
150,0x1800,0,0,bulk,accepted,1,1,0,2,0,0
151,0x1808,1,0,scalar_incrementing,accepted,1,1,2,3,0,0
152,0x1800,0,0,bulk,accepted,8,8,0,16,0,0
